Epoch: 1 [37000/60000(61.7%)]	Loss: 0.341920	Accuracy:97.00%
Epoch: 1 [37500/60000(62.5%)]	Loss: 0.021455	Accuracy:96.80%
Epoch: 1 [38000/60000(63.3%)]	Loss: 0.054770	Accuracy:97.20%
Epoch: 1 [38500/60000(64.2%)]	Loss: 0.000912	Accuracy:96.40%
Epoch: 1 [39000/60000(65.0%)]	Loss: 0.023852	Accuracy:98.40%
Epoch: 1 [39500/60000(65.8%)]	Loss: 0.035762	Accuracy:98.80%
Epoch: 1 [40000/60000(66.7%)]	Loss: 0.004204	Accuracy:97.60%
Epoch: 1 [40500/60000(67.5%)]	Loss: 0.031382	Accuracy:98.20%
Epoch: 1 [41000/60000(68.3%)]	Loss: 0.013385	Accuracy:97.60%
Epoch: 1 [41500/60000(69.2%)]	Loss: 0.013065	Accuracy:96.60%
Epoch: 1 [42000/60000(70.0%)]	Loss: 0.147617	Accuracy:94.80%
Epoch: 1 [42500/60000(70.8%)]	Loss: 0.037924	Accuracy:97.80%
Epoch: 1 [43000/60000(71.7%)]	Loss: 0.002216	Accuracy:97.20%
Epoch: 1 [43500/60000(72.5%)]	Loss: 0.008087	Accuracy:96.40%
Epoch: 1 [44000/60000(73.3%)]	Loss: 0.261924	Accuracy:96.80%
Epoch: 1 [44500/60000(74.2%)]	Loss: 0.052241	Accuracy:97.80%
Epoch: 1 [45000/60000(75.0%)]	Loss: 0.119061	Accuracy:97.40%
Epoch: 1 [45500/60000(75.8%)]	Loss: 0.003079	Accuracy:98.20%
Epoch: 1 [46000/60000(76.7%)]	Loss: 0.024785	Accuracy:98.20%
Epoch: 1 [46500/60000(77.5%)]	Loss: 0.038915	Accuracy:98.00%
Epoch: 1 [47000/60000(78.3%)]	Loss: 0.120133	Accuracy:96.40%
Epoch: 1 [47500/60000(79.2%)]	Loss: 0.047481	Accuracy:97.60%
Epoch: 1 [48000/60000(80.0%)]	Loss: 0.083560	Accuracy:98.20%
Epoch: 1 [48500/60000(80.8%)]	Loss: 0.042860	Accuracy:97.80%
Epoch: 1 [49000/60000(81.7%)]	Loss: 0.001089	Accuracy:97.80%
Epoch: 1 [49500/60000(82.5%)]	Loss: 0.028527	Accuracy:97.40%
Epoch: 1 [50000/60000(83.3%)]	Loss: 0.024172	Accuracy:98.40%
Epoch: 1 [50500/60000(84.2%)]	Loss: 0.031500	Accuracy:97.60%
Epoch: 1 [51000/60000(85.0%)]	Loss: 0.203331	Accuracy:97.80%
Epoch: 1 [51500/60000(85.8%)]	Loss: 0.021849	Accuracy:98.80%
Epoch: 1 [52000/60000(86.7%)]	Loss: 0.013812	Accuracy:97.40%
Epoch: 1 [52500/60000(87.5%)]	Loss: 0.302409	Accuracy:97.80%
Epoch: 1 [53000/60000(88.3%)]	Loss: 0.005073	Accuracy:96.80%
Epoch: 1 [53500/60000(89.2%)]	Loss: 0.003054	Accuracy:97.40%
Epoch: 1 [54000/60000(90.0%)]	Loss: 0.009971	Accuracy:98.60%
Epoch: 1 [54500/60000(90.8%)]	Loss: 0.182207	Accuracy:97.80%
Epoch: 1 [55000/60000(91.7%)]	Loss: 0.011671	Accuracy:98.60%
Epoch: 1 [55500/60000(92.5%)]	Loss: 0.002086	Accuracy:97.60%
Epoch: 1 [56000/60000(93.3%)]	Loss: 0.090560	Accuracy:99.20%
Epoch: 1 [56500/60000(94.2%)]	Loss: 0.004695	Accuracy:98.20%
Epoch: 1 [57000/60000(95.0%)]	Loss: 0.055378	Accuracy:97.60%
Epoch: 1 [57500/60000(95.8%)]	Loss: 0.011844	Accuracy:97.80%
Epoch: 1 [58000/60000(96.7%)]	Loss: 0.001220	Accuracy:98.40%
Epoch: 1 [58500/60000(97.5%)]	Loss: 0.056570	Accuracy:96.80%
Epoch: 1 [59000/60000(98.3%)]	Loss: 0.134238	Accuracy:98.20%
Epoch: 1 [59500/60000(99.2%)]	Loss: 0.005024	Accuracy:98.20%
Epoch: 1 [Assert]	Accuracy: 98.21%
Epoch: 2 [0/60000(0.0%)]	Loss: 0.001712	Accuracy:2.00%
Epoch: 2 [500/60000(0.8%)]	Loss: 0.008194	Accuracy:98.20%
Epoch: 2 [1000/60000(1.7%)]	Loss: 0.785724	Accuracy:99.20%
Epoch: 2 [1500/60000(2.5%)]	Loss: 0.229155	Accuracy:98.20%
Epoch: 2 [2000/60000(3.3%)]	Loss: 0.002127	Accuracy:97.80%
Epoch: 2 [2500/60000(4.2%)]	Loss: 0.559594	Accuracy:96.20%
Epoch: 2 [3000/60000(5.0%)]	Loss: 0.029233	Accuracy:98.20%
Epoch: 2 [3500/60000(5.8%)]	Loss: 0.080033	Accuracy:99.00%
Epoch: 2 [4000/60000(6.7%)]	Loss: 0.018059	Accuracy:97.80%
Epoch: 2 [4500/60000(7.5%)]	Loss: 0.003498	Accuracy:97.80%
Epoch: 2 [5000/60000(8.3%)]	Loss: 0.060099	Accuracy:98.20%
Epoch: 2 [5500/60000(9.2%)]	Loss: 0.005784	Accuracy:97.60%
Epoch: 2 [6000/60000(10.0%)]	Loss: 0.008566	Accuracy:97.60%
Epoch: 2 [6500/60000(10.8%)]	Loss: 0.072270	Accuracy:98.60%
Epoch: 2 [7000/60000(11.7%)]	Loss: 0.044475	Accuracy:98.60%
Epoch: 2 [7500/60000(12.5%)]	Loss: 0.087205	Accuracy:98.20%
Epoch: 2 [8000/60000(13.3%)]	Loss: 0.013019	Accuracy:97.40%
Epoch: 2 [8500/60000(14.2%)]	Loss: 0.717917	Accuracy:98.20%
Epoch: 2 [9000/60000(15.0%)]	Loss: 0.000902	Accuracy:98.40%
Epoch: 2 [9500/60000(15.8%)]	Loss: 0.012216	Accuracy:98.60%
Epoch: 2 [10000/60000(16.7%)]	Loss: 0.007332	Accuracy:98.40%
Epoch: 2 [10500/60000(17.5%)]	Loss: 0.026023	Accuracy:97.60%
Epoch: 2 [11000/60000(18.3%)]	Loss: 0.000578	Accuracy:97.80%
Epoch: 2 [11500/60000(19.2%)]	Loss: 0.287728	Accuracy:97.20%
Epoch: 2 [12000/60000(20.0%)]	Loss: 0.143822	Accuracy:98.00%
Epoch: 2 [12500/60000(20.8%)]	Loss: 0.067858	Accuracy:98.40%
Epoch: 2 [13000/60000(21.7%)]	Loss: 0.005888	Accuracy:98.60%
